place,passing,jockey,up,borderNum,weight,popularity,topHourseNmae,basisWeigh,horseNum,distance,raceTitle,date,R,headCount,topDiff,weather,fieldCondition,money,order,name,time,rap,odds
2東京8,10-9,ルメール,34.7,4,448(0),5,(アルタイル),56,4,ダ1600,青竜S(OP),2015/05/17,10,12,-0.1,晴,良,"1,826.6",1,ノンコノユメ ,1:36.4,36.6-35.4,7.7
3中山4,13-12-10-7,横山典弘,37.4,8,448(+4),5,クロスクリーガー,56,14,ダ1800,伏竜S(OP),2015/04/05,10,14,0.6,小雨,稍,180.0,5,ノンコノユメ ,1:53.6,37.2-37.8,10.9
2中山2,14-14-8-7,Ｃ．デム,38.7,1,444(-4),2,(バスタータイプ),56,1,ダ1800,3歳500万下,2015/03/01,4,14,-0.3,曇,稍,720.0,1,ノンコノユメ ,1:54.5,37.1-39.4,3.3
1東京5,15-16,石川裕紀,37.3,7,448(-4),2,トゥルッリ,53,13,ダ1600,3歳500万下,2015/02/14,6,16,0.5,晴,良,180.0,3,ノンコノユメ ,1:38.4,34.4-38.6,3.4
4中山4,14-14-12-12,石川裕紀,37.5,4,452(+6),6,イーデンホール,52,6,ダ1800,2歳500万下,2014/12/14,7,14,0.2,晴,良,290.0,2,ノンコノユメ ,1:54.8,36.6-38.4,9.7
,,,,,,,,,,,,,,,,,,,,カフジテイク ,,,
4中京2,11-10-8-9,ルメール,35.9,6,488(0),5,ゴールドドリーム,57,12,ダ1800,チャンピオンズC(G1),2017/12/03,11,15,0.5,晴,良, ,7,カフジテイク ,1:50.6,36.2-36.2,9.6
5東京3,14-15,福永祐一,35.1,8,488(-1),2,インカンテーション,57,16,ダ1600,東京中日S杯武蔵野S(G3),2017/11/11,11,16,0.6,晴,良,380.0,5,カフジテイク ,1:36.1,35.1-35.5,3.7
盛岡,6-6,福永祐一,35.1,7,489(+3),3,コパノリッキー,57,14,ダ1600,マイルチャンピオンシ(G1),2017/10/09,11,16,0.8,曇,稍,405.0,4,カフジテイク ,1:35.7, ,3.5
3中京4,12-9,福永祐一,36.0,5,486(0),1,キングズガード,57,8,ダ1400,プロキオンS(G3),2017/07/09,11,15,0.3,曇,良,"1,415.8",2,カフジテイク ,1:23.2,34.2-36.9,2.8
メイダン, ,福永祐一, , ,計不,4,,57,13,ダ1600,ゴドルフィンマイル(G2),2017/03/25, ,13, , ,重, ,5,カフジテイク , , , 
1東京8,14-16,津村明秀,34.9,5,486(+2),1,ゴールドドリーム,57,10,ダ1600,フェブラリーS(G1),2017/02/19,11,16,0.1,晴,良,"2,450.4",3,カフジテイク ,1:35.2,34.0-36.1,4.5
1東京2,14-15,福永祐一,34.5,2,484(+2),1,(ベストウォーリア),56,3,ダ1400,根岸S(G3),2017/01/29,11,16,-0.2,曇,良,"3,856.7",1,カフジテイク ,1:23.0,35.0-36.1,3.0
4中京2,15-15-14-15,津村明秀,36.0,1,482(-2),11,サウンドトゥルー,57,1,ダ1800,チャンピオンズC(G1),2016/12/04,11,15,0.2,曇,良,"1,500.0",4,カフジテイク ,1:50.3,36.3-37.7,54.8
5東京3,16-16,津村明秀,34.2,2,484(0),6,タガノトネール,56,3,ダ1600,東京中日S杯武蔵野S(G3),2016/11/12,11,16,0.4,晴,重,958.3,3,カフジテイク ,1:34.2,34.5-35.5,13.7
4東京3,15-15,津村明秀,34.4,2,484(+2),6,(キングズガード),56,3,ダ1400,グリーンチャンネルC(OP),2016/10/10,11,16,-0.2,曇,稍,"2,234.3",1,カフジテイク ,1:22.0,34.1-36.2,14.5
3中京4,12-13,幸英明,35.8,2,482(-2),9,ノボバカラ,56,2,ダ1400,プロキオンS(G3),2016/07/10,11,15,0.5,晴,稍, ,7,カフジテイク ,1:22.6,34.1-36.7,23.0
3東京7,15-16,ベリー,34.6,7,484(-2),3,(ビッグリバティ),57,13,ダ1400,夏至S(1600万下),2016/06/25,11,16,-0.2,曇,稍,"1,855.7",1,カフジテイク ,1:23.1,35.6-35.8,6.0
3阪神3,12-12,幸英明,36.0,8,486(+2),2,ダノングッド,57,15,ダ1400,安芸S(1600万下),2016/06/11,11,16,0.0,晴,良,270.0,4,カフジテイク ,1:22.9,33.7-37.1,3.8
3京都8,13-12,幸英明,35.6,2,484(0),3,キングズガード,55,3,ダ1400,栗東S(OP),2016/05/15,11,16,0.8,晴,良, ,8,カフジテイク ,1:24.2,35.3-36.0,7.1
2京都4,5-4,幸英明,36.6,8,484(0),3,(ブルミラコロ),57,12,ダ1400,河原町S(1600万下),2016/02/07,9,12,-0.4,晴,良,"1,845.2",1,カフジテイク ,1:24.0,34.9-37.1,8.5
1京都3,10-11,秋山真一,35.4,6,484(+2),2,ヒルノデイバロー,56,9,ダ1400,羅生門S(1600万下),2016/01/10,10,13,0.4,晴,良,270.0,4,カフジテイク ,1:25.5,36.3-36.1,4.1
